model_name,accuracy,precision,recall,f1_score,training_time_seconds,supports_probability
ridge_classifier,0.9953964194373401,0.9940438871473354,0.9974834853727588,0.9957607159679699,1.1035678386688232,False
calibrated_ridge_classifier,0.995225916453538,0.9946624803767661,0.9965397923875432,0.9956002514142049,1.871934175491333,True
random_forest,0.9950554134697357,0.9943502824858758,0.9965397923875432,0.9954438334642577,12.900564193725586,True
linear_svm,0.9950554134697357,0.9946608040201005,0.996225228059138,0.9954424013829954,0.30684709548950195,False
passive_aggressive,0.9943734015345268,0.9937225360954175,0.9959106637307329,0.994815396700707,0.3573179244995117,False
sgd_hinge_svm,0.9933503836317136,0.9912390488110138,0.9965397923875432,0.9938823529411764,0.1582026481628418,False
logistic_regression,0.9890878090366582,0.9862628785513581,0.9937087134318968,0.9899717956753369,0.35326123237609863,True
extra_trees,0.9884057971014493,0.983224603914259,0.9955960994023277,0.989371678649578,20.83050227165222,True
sgd_log_loss,0.9841432225063939,0.9785980148883374,0.9924504561182762,0.9854755583320318,0.18826675415039062,True
multinomial_naive_bayes,0.9563512361466325,0.9644105497299015,0.9547027367096571,0.9595320897881758,0.0590362548828125,True
complement_naive_bayes,0.9537936913895994,0.9654289372599232,0.9487260144699591,0.9570046009836586,0.0370028018951416,True
